id,player name,player names
05b1aef8,NG Smith,"['NG Smith', 'N Smith']"
5d664346,TB Robinson,['TB Robinson']
10da9f8b,CR McLachlan,['CR McLachlan']
782fb776,LV van Beek,"['LV van Beek', 'L van Beek']"
149d0c18,PF Younghusband,"['PF Younghusband', 'Younghusband', 'PF Young-Husband', 'P Young-Husband']"
f8e48647,IG McPeake,['IG McPeake']
236c8ffb,MW Snedden,"['MW Snedden', 'Snedden']"
70b8fd28,A Lyth,"['A Lyth', 'Adam Lyth']"
25f7b7d6,T Banton,"['T Banton', 'Tom Banton']"
650d5e49,R Powell,['R Powell']
9cb8d7a6,Imad Wasim,"['Imad Wasim', 'I Wasim']"
06c2de82,L Gregory,"['L Gregory', 'Lewis Gregory']"
cdd875d9,JA Turner,['JA Turner']
65b6943c,L Wood,"['L Wood', 'Wood']"
679cd31e,SJ Cook,"['SJ Cook', 'Jimmy Cook', 'S Cook']"
270e4c23,MS Pepper,"['MS Pepper', 'M Pepper']"
e94bc520,OJ Pope,"['OJ Pope', 'Ollie Pope', 'OJD Pope', 'O Pope']"
4b685e2d,DW Lawrence,"['DW Lawrence', 'Dan Lawrence', 'D Lawrence', 'Lawrence']"
48a1d7b7,SO Hetmyer,"['SO Hetmyer', 'Shimron Hetmeyer', 'S Hetmyer']"
c5cc48bc,MJJ Critchley,"['MJJ Critchley', 'M Critchley', 'Critchley']"
bbd41817,AD Russell,"['AD Russell', 'Andre Russell', 'A Russell']"
4a461c24,LA Dawson,"['LA Dawson', 'L Dawson', 'Dawson', 'Liam Dawson']"
3f659464,OP Stone,"['OP Stone', 'Olly Stone', 'O Stone', 'Stone']"
9eb1455b,NT Ellis,"['NT Ellis', 'Ellis', 'Nathan Ellis']"
402f8494,RJ Gleeson,"['RJ Gleeson', 'Richard Gleeson']"
8bd614b2,Rony Talukdar,['Rony Talukdar']
b8cc58c9,RR Hendricks,"['RR Hendricks', 'Reeza Hendricks', 'R Hendricks']"
7dc35884,Shakib Al Hasan,"['Shakib Al Hasan', 'S Al Hasan']"
9dad0f2e,Mahedi Hasan,"['Mahedi Hasan', 'Mehedi Hasan', 'M Hasan']"
9219eff0,JDS Neesham,"['JDS Neesham', 'James Neesham', 'Neesham', 'J Neesham']"
d365d463,Nurul Hasan,['Nurul Hasan']
11614d87,D Pretorius,"['D Pretorius', 'Dwaine Pretorius', 'Pretorius']"
711249d1,Shamim Hossain,['Shamim Hossain']
80ad39ac,Hasan Mahmud,"['Hasan Mahmud', 'H Mahmud']"
492ff0c2,R Mondol,['R Mondol']
0ebfb1ad,E Lewis,['E Lewis']
72b245dd,Anamul Haque,"['Anamul Haque', 'A Haque']"
